organization_name,keyword,query,title,source_url
cartel,lavado de dinero,"""cartel"" ""lavado de dinero""",HARFUCH y DEA ALLANAN a la HIJA del MENCHO en un RESTAURANTE ... - Facebook,https://www.facebook.com/reel/1839160016798577/
cartel,vínculos,"""cartel"" ""vínculos""",Escuelas de Rosario en la mira por amenazas y vínculos con narcotráfico,https://www.cadena3.com/noticia/sociedad/escuelas-de-rosario-en-la-mira-por-amenazas-y-vinculos-con-narcotrafico_527863
cartel,vínculos,"""cartel"" ""vínculos""",HARFUCH CEPILLA el SALÓN de BELLEZA de FABIOLA RICCI y ... - Facebook,https://www.facebook.com/reel/1852670332110565/
cartel,regidor,"""cartel"" ""regidor""",Casa Del Regidor - El Puerto de Santa María.,"https://duckduckgo.com/y.js?ad_domain=booking.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=MIkQjaZMmY66A7kMLNry_F6V-bfjLOzHNj_qGrNzr6u5K0Ps6AQyGDEX8QYozIavmfyKohnxlkMH6Hl3AzHSaRnpzJCKZX-Rx49zkCMZ4uUuEF24JS-NQTa-b50T93m0QffcJ1quVeuWCoMTWl8AibknmGv22d5v62TkgxNfRmg.l6LgTT0nlv9uHMAv_OOrSQ&rut=bb2036d0f05f526a568ae479e7775de868c57801a681f83e2fe048af6410c97f&u3=https://www.bing.com/aclick?ld=e8Qc6NYAt5bDDAILhk5u2OojVUCUz8ZUUQX2FiMFKO6QLiSLQ9Duemt20MpJQfxuC8AKetkgMY7AMTWmhMYX1wv8Y_KNmeZHhb7bmd2oMMQYQfzm6HfqBid4B-5K7ItQgStWb-zcsOP2n_qxbAcQKhxOkGn5JrcV6PWyHPMU5P7t5bZDeqQpo3d3WJYHY6SL9P-o0hPbtoK3vnlbrQ3PzDldY7ry0&u=aHR0cHMlM2ElMmYlMmZ3d3cuYm9va2luZy5jb20lMmZob3RlbCUyZmVzJTJmY2FzYS1kZWwtcmVnaWRvci5mci5odG1sJTNmYWlkJTNkMjI3NjUxMyUyNnBhZ2VuYW1lJTNkaG90ZWwtOTI3OTMtZXMlMjZsYWJlbCUzZG1zbi1qcThwT2d4Kml0RmpBMjVCeWZYTXJ3LTgwMDU4MzQxNjYxMzQ2JTNhdGlrd2QtODAwNTg0OTU4Mzg4MjUlM2Fsb2MtMTE5JTNhbmVzJTNhbXRwJTNhbHAxNzgwMzYlM2FkZWMlM2FjaWQ1NzgzNDYxMzElM2FhZ2lkMTI4MDkzMTUzMTk2NTk1NSUyNnV0bV9jYW1wYWlnbiUzZEhvdGVsJTI1MjAtJTI1MjBTcGFpbiUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV90ZXJtJTNkanE4cE9neCppdEZqQTI1QnlmWE1ydyUyNm1zY2xraWQlM2Q4MTMwZTM2YmU0MWQxMmFhMjQ0NzhhZGIyMWRhMjUxZQ&rlid=8130e36be41d12aa24478adb21da251e&vqd=4-152401079517999676979979853583478666720&iurl={1}IG=E491207BBA364647A890A0E2E232AC26&CID=39B5D63D3383628A2533C124326B63D5&ID=DevEx,5028.1"
cartel,regidor,"""cartel"" ""regidor""",Fantastic Prices on eBay - eBay Official Site,"https://duckduckgo.com/y.js?ad_domain=ebay.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=a_MQjBywaI7PfKhczYuejQsYTLtleZ4gpmWURfre2T-CLYXSwANH3mjbWbv1ehL8KO4YaxExvAT3QSJCN9pl_A88Cze2OZQeLoXos7TbQxWiKfLbcU9YERkK7551H2Ka4iwdrSwT3kZ6mOY5LUS_HPzNvEOxBXC2oqyvALwpZG0.SmwkE9Z7lUMiPar_arWWUA&rut=2e81adaea0e32c9212904f2f4b4f68c5fdfc344072ed356dda3fdecf7ec44d93&u3=https://www.bing.com/aclick?ld=e8ksWeYqLgDp7kPhpet60d1zVUCUyDmbDKYK5VewAoqPGyzIdgTnCm17wQihBt3ZF1QMNw3I766Sj8jnD9C8IyuEUJDGgqogrq1fBpOfvCXDbX_s6mWuAfSJM_jGJ-bz-9ARodt4gB7adQEahVBsQ3Q7fIyvN1Nd4AqqdlcBXDdIWkIO7ZbnLMGbfwaBc8X50sGcxJGclDptf0MG_oHk0xRD3-q_I&u=aHR0cHMlM2ElMmYlMmZ3d3cuZWJheS5jb20lMmZzY2glMmZpLmh0bWwlM2Zfbmt3JTNkcmVnaWRvciUyNm5vcm92ZXIlM2QxJTI2bWtldnQlM2QxJTI2bWtyaWQlM2Q3MTEtMzQwMDItMTMwNzgtMCUyNm1rY2lkJTNkMiUyNm1rc2NpZCUzZDEwMiUyNmtleXdvcmQlM2RyZWdpZG9yJTI2Y3JscCUzZF8lMjZNVF9JRCUzZCUyNmdlb19pZCUzZCUyNnJsc2F0YXJnZXQlM2Rrd2QtNzY1NTM2Nzc2MTk3MDglM2Fsb2MtMTE5JTI2YWRwb3MlM2QlMjZkZXZpY2UlM2RjJTI2bWt0eXBlJTNkJTI2bG9jJTNkMTc4MDM2JTI2cG9pJTNkJTI2YWJjSWQlM2QlMjZjbXBnbiUzZDM5NTQyMTEzOCUyNnNpdGVsbmslM2QlMjZhZGdyb3VwaWQlM2QxMjI0ODU2MTYwMzgzMDA4JTI2bmV0d29yayUzZHMlMjZtYXRjaHR5cGUlM2RwJTI2bXNjbGtpZCUzZGM5MTNiNjkyZmMwYTE1YTI3Yjc1ZGYyMjM5Y2RmMTIw&rlid=c913b692fc0a15a27b75df2239cdf120&vqd=4-206227165499032340006546580869623716509&iurl={1}IG=E491207BBA364647A890A0E2E232AC26&CID=39B5D63D3383628A2533C124326B63D5&ID=DevEx,5032.1"
cartel,policía,"""cartel"" ""policía""",Conozca el cartel con los alias de los delincuentes más buscados por el ...,https://caracol.com.co/2026/03/10/conozca-el-cartel-con-los-alias-de-los-delincuentes-mas-buscados-por-el-robo-de-motos-en-ibague/
cartel,policía,"""cartel"" ""policía""","Posadas lanza campaña ambiental ""Tu pueblo es tu casa"" con la mascota ...",https://www.cordobabn.com/articulo/provincia/posadas-impulsa-campana-ambiental-pueblo-es-casa-cuidalo-participacion-vecinos-mascota-basurix-como-guia-mensaje/20260310204411252229.html
cartel,gobernador,"""cartel"" ""gobernador""",Find The Cartel on eBay - The Cartel,"https://duckduckgo.com/y.js?ad_domain=ebay.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=P2sEBVJz0G79t_ZZepp-EOI2MLTyZUZKBjwvUkgQz_tPJCP3m6grbOYFBY8eob4ID0u3sNaA6fv0ZmA0vXq_jElJpiAurdI1fckBE0gqzYmJBywxmSQX0tE1-XHcZ4cheMhFkeyn7i3aKJnOogY9VkighFfTKJB9poSprRMLj0s.xruOPiQUiORbQnJdiYkwmw&rut=0003388c051ed8cdcdf3c6491c38a47540a456dcf066ffbb9573db343a42cd16&u3=https://www.bing.com/aclick?ld=e8QbVBVrlR6jELOZWxlLLn6zVUCUzBCDDZKJnkIGcsJWmeHD7qwdUqBFbel5QaDtoL8szYPiPOQuTwlLx-OVIBvE8OM1_lyseGkCuZOji8nOR5YhuWsxxbGjn34SNYkrDTGf9e4hXJ6pMERXM-xz03QwAEj1bpLz3QsYIc1SdOZbFWvdqPG-RlwUwrvF9D5lOJDARHp4aFEN1PIi1ko-noJW2DvVM&u=aHR0cCUzYSUyZiUyZnd3dy5lYmF5LmNvbSUyZnVsayUyZnNjaCUyZiUzZl9ua3clM2R0aGUlMjUyMGNhcnRlbCUyNm5vcm92ZXIlM2QxJTI2bWtldnQlM2QxJTI2bWtyaWQlM2Q3MTEtMzQwMDAtMTMwNzgtMCUyNm1rY2lkJTNkMiUyNm1rc2NpZCUzZDEwMiUyNmtleXdvcmQlM2R0aGUlMjUyMGNhcnRlbCUyNmNybHAlM2RfMi0xMzAwLTAtMS0xJTI2TVRfSUQlM2QlMjZnZW9faWQlM2QlMjZybHNhdGFyZ2V0JTNka3dkLTc2NjIyMzUwNjc5NzQ0JTNhbG9jLTglMjZhZHBvcyUzZCUyNmRldmljZSUzZGMlMjZta3R5cGUlM2QlMjZsb2MlM2QxNDMyNjclMjZwb2klM2QlMjZhYmNJZCUzZCUyNmNtcGduJTNkMzI5ODUzNTk2JTI2c2l0ZWxuayUzZCUyNmFkZ3JvdXBpZCUzZDEyMjU5NTU2MTY4NjU1ODUlMjZuZXR3b3JrJTNkcyUyNm1hdGNodHlwZSUzZHAlMjZtc2Nsa2lkJTNkZTYyZDAxOGJkMWY2MTY5MDU4MmU2ODNiMTQyMmMwYzU&rlid=e62d018bd1f61690582e683b1422c0c5&vqd=4-279006242337336990539738393711710017528&iurl={1}IG=4806259FC10341E49FD26E78FAC420BE&CID=209A680EA8646BD91FC87F17A98C6AF2&ID=DevEx,5037.1"
cartel,gobernador,"""cartel"" ""gobernador""",Noticiero Matutino con Gabriela Gutierrez - Facebook,https://www.facebook.com/MediaGroupMich/videos/770036805845130/
cartel,diputado,"""cartel"" ""diputado""",Dellafuente se suma a los principales artistas del Weekend Beach ...,http://www.gentedigital.es/malaga/noticia/4276320/dellafuente-se-suma-a-los-principales-artistas-del-weekend-beach-festival-que-completa-su-cartel-de-2026/
